title,citation,category,url
"Ao atacar vacina chinesa, Bolsonaro distorce fatos e cita informação falsa",Parece que nenhum país do mundo está interessado nela [na CoronaVac].,"
",https://www.aosfatos.org/noticias/ao-atacar-vacina-chinesa-bolsonaro-distorce-fatos-e-cita-informacao-falsa/
"Ao atacar vacina chinesa, Bolsonaro distorce fatos e cita informação falsa",Não se justifica um bilionário aporte financeiro num medicamento que sequer ultrapassou sua fase de testagem.,CONTRADITÓRIO,https://www.aosfatos.org/noticias/ao-atacar-vacina-chinesa-bolsonaro-distorce-fatos-e-cita-informacao-falsa/
"Ao atacar vacina chinesa, Bolsonaro distorce fatos e cita informação falsa","A questão de vacinação ou não é uma lei de 75 que é bem clara que o Programa Nacional de Imunização, aí incluída as vacinas obrigatórias, compete ao Ministro da Saúde.",EXAGERADO,https://www.aosfatos.org/noticias/ao-atacar-vacina-chinesa-bolsonaro-distorce-fatos-e-cita-informacao-falsa/
"Ao atacar vacina chinesa, Bolsonaro distorce fatos e cita informação falsa","Inclusive tem um vídeo, do senhor João Doria, de poucos dias, onde ele diz claramente que obrigaria os aproximadamente 40 milhões habitantes do estado de São Paulo a se vacinarem.",VERDADEIRO,https://www.aosfatos.org/noticias/ao-atacar-vacina-chinesa-bolsonaro-distorce-fatos-e-cita-informacao-falsa/
"Ao atacar vacina chinesa, Bolsonaro distorce fatos e cita informação falsa",Hoje em dia pelo menos metade da população diz que não quer tomar essa vacina [CoronaVac],VERDADEIRO,https://www.aosfatos.org/noticias/ao-atacar-vacina-chinesa-bolsonaro-distorce-fatos-e-cita-informacao-falsa/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","O rodízio ampliou o isolamento social na cidade de São Paulo. Durante a semana em que ele foi tomado, a gente reverteu uma tendência de queda do isolamento, observada no mês de abril aqui na cidade de São Paulo, e nós ampliamos o isolamento na cidade. - ","
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","Além disso, 1,5 milhão de m² de calçadas acessíveis foi implantado e 4.000 rampas construídas. - postado na conta de ","
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","Faz 16 anos que a Cohab não constrói casa, faz 12 anos que não inaugura nada. – ","
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","De jeito algum. Eu não falei isso [sobre levar a saúde do prefeito Bruno Covas à campanha]. Eu fui perguntado sobre isso e tudo o que falei é que o ""tucanato"" tem o hábito de não cumprir mandato. - ","
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches",Há 40 mil imóveis abandonados que devem imposto. - ,"
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches",Temos 1 milhão de famílias vivendo com menos de 520 reais por mês. - Post no ,"
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches",Hoje nós temos 18 mil crianças sem creche. - ,"
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches",Eu nunca usei a expressão casal ou marido e mulher. - ,"
",https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches",As crianças ficaram quatro meses sem receber o voucher de alimentação [durante a pandemia]. – ,IMPRECISO,https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
"Na reta final, candidatos em São Paulo derrapam ao falar de pandemia, habitação e creches","Quando começou essa gestão, o governador João Doria tinha proposto fazer 72 km de corredores de ônibus. O atual prefeito mudou isso para 9 km, (...) e não fez nem um metro. - ",EXAGERADO,https://www.aosfatos.org/noticias/na-reta-final-candidatos-em-sao-paulo-derrapam-ao-falar-de-pandemia-habitacao-e-creches/
